ProductID,ProductName,Category,City,Price,QuantitySold,Month,Year
577,Pen,Stationery,Mashhad,154000,199,7,2022
616,Desk Lamp,Office Supplies,Mashhad,799000,174,4,2022
535,Bookshelf,Furniture,Ahvaz,1469000,396,1,2024
416,Mouse,Electronics,Ahvaz,44854000,44,2,2023
886,Bookshelf,Furniture,Rasht,4399000,118,2,2020
384,Bookshelf,Furniture,Kermanshah,756000,124,3,2023
323,Laptop,Electronics,Tehran,42432000,9,7,2023
700,Notebook,Stationery,Mashhad,27000,136,3,2023
105,Mouse,Electronics,,24107000,6,6,2022
687,Laptop,Electronics,Tehran,34841000,1,7,2023
975,Notebook,Stationery,Karaj,118000,358,7,2020
816,Desk Lamp,Office Supplies,Ahvaz,408000,468,12,2021
926,Headphone,Electronics,Rasht,15761000,35,10,2022
651,Laptop,Electronics,Tabriz,8100000,307,9,2024
126,Notebook,Stationery,Karaj,85000,281,5,2022
280,Bookshelf,Furniture,Isfahan,2835000,246,6,2024
994,Bookshelf,Furniture,Qom,2235000,49,3,2021
205,Keyboard,Electronics,Karaj,21329000,3,3,2024
168,Mouse,Electronics,Rasht,18658000,20,5,2020
355,Smartphone,Electronics,Shiraz,43746000,25,,2023
719,Bookshelf,Furniture,Qom,4753000,47,9,2024
683,Chair,Furniture,Shiraz,4898000,227,8,2020
518,Chair,Furniture,Kermanshah,3794000,207,9,2020
817,Headphone,Electronics,Isfahan,14458000,26,12,2022
941,Smartphone,Electronics,Isfahan,5880000,372,2,2024
453,Desk Lamp,Office Supplies,Rasht,922000,224,7,2022
970,Notebook,Stationery,Tehran,44000,434,11,2021
326,Camera,Electronics,Shiraz,20476000,39,11,
899,Laptop,Electronics,Rasht,2980000,467,10,2023
650,Pen,Stationery,Shiraz,52000,29,11,2021
897,Smartphone,Electronics,Tabriz,29513000,8,11,2024
398,Pen,Stationery,Ahvaz,191000,243,4,2021
780,Tablet,Electronics,Karaj,35317000,24,8,2021
696,Monitor,Electronics,Shiraz,36356000,32,7,2024
285,Smartphone,Electronics,Mashhad,15154000,31,8,2020
384,,Electronics,Karaj,12811000,37,7,2022
605,Smartphone,Electronics,Qom,39843000,6,10,2020
641,Chair,Furniture,Ahvaz,4954000,211,8,2023
551,Headphone,Electronics,Shiraz,19506000,24,7,2022
106,Table,Furniture,Ahvaz,3696000,472,11,2023
668,Pen,Stationery,Shiraz,105000,146,1,2021
442,Bookshelf,Furniture,Shiraz,992000,95,8,2022
948,Bookshelf,Furniture,Shiraz,3427000,11,9,2020
813,Monitor,Electronics,Kermanshah,10194000,18,,2021
740,Pen,Stationery,Tehran,192000,383,3,2020
189,Keyboard,Electronics,Shiraz,19688000,25,5,2020
336,Tablet,Electronics,Shiraz,8662000,241,4,
589,Tablet,Electronics,Ahvaz,4480000,40,2,2022
656,Headphone,Electronics,Qom,45760000,15,11,2023
245,Printer,Electronics,Tabriz,13335000,36,3,2024
